Partlist

Exported from Aquila-2019-ex.brd at 2019/03/31 14:46

EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part           Value                  Package                      Library               Position (mil)        Orientation

3.3C1          100u                   D/7343-31R                   rcl                   (1089.75 3078.75)     R180
3.3C2          0.1u                   C0805                        rcl                   (1163.75 2907.25)     R0
3.3REG         OKL-T_6-W12N-C         OKL-T/3-W5                   SamacSys_Parts        (1300 3900)           R90
5C1            100u                   D/7343-31R                   rcl                   (1841 3094.5)         R180
5C2            0.1u                   C0805                        rcl                   (1671 3223)           R180
5VREG          OKL-T_6-W12N-C         OKL-T/3-W5                   SamacSys_Parts        (2050 3900)           R90
8MHZ           P-08669_HUSG-12.000-20 HC49U-V                      Akizuki               (2625 2281.25)        R0
9C1            100u                   D/7343-31R                   rcl                   (726.25 2809)         R180
9C2            0.1u                   C0805                        rcl                   (832 3075.25)         R0
BOOT0-STM      DTS-6                  DTS-6                        forprint              (1750 662.5)          R180
C1             22uF25V                C2012                        resistor              (1476 3329)           R270
C2             10uF10V                C2012                        resistor              (1675 3355)           R180
C3             22uF25V                C2012                        resistor              (828 3284)            R0
C4             10uF10V                C2012                        resistor              (1000 3341)           R0
C5             22pF                   C1608                        resistor              (2687.5 2425)         R0
C6             22pF                   C1608                        resistor              (2562.5 2425)         R180
CHECKLED       OSTA71A1D-A            OSTA71A1D-A                  FullColorLed-forprint (1450 1787.5)         R270
CON1           XH-4                   CON4                         0@Mylibrary-main1     (3037.5 1356.25)      MR180
CON2           XH-4                   CON4                         0@Mylibrary-main1     (3037.5 1143.75)      MR180
DIO0-JP        BOOT0                  SJ                           jumper                (312.5 856.25)        R90
DIO1-JP        NRST                   SJ                           jumper                (406.25 856.25)       R90
ERROR1-R       330                    R0805                        0@Mylibrary-main1     (950 2400)            MR90
ERROR2-R       330                    R0805                        0@Mylibrary-main1     (950 2100)            MR90
FET1           IRF740                 TO220BV                      transistor-power      (2532 3634)           R0
FET1-R1        100                    R0805                        0@Mylibrary-main1     (2512 3384)           R270
FET1-R2        4.7K                   R0805                        0@Mylibrary-main1     (2432 3384)           R90
FET2           IRF740                 TO220BV                      transistor-power      (3380.5 3722.25)      R180
FET2-R1        100                    R0805                        0@Mylibrary-main1     (3405.75 3652.75)     R270
FET2-R2        4.7K                   R0805                        0@Mylibrary-main1     (3482 3652.75)        R90
GND-CH         GND                    SMD2,54-5,08                 wirepad               (400 1200)            R180
GND-CHK        GND                    2,15/1,0                     wirepad               (1400 1000)           R0
GND-CHK1       GND                    2,15/1,0                     wirepad               (1150 2650)           R0
IC1            STM32F429VGT           LQFP100                      micro-stm_v3          (2600 1800)           R180
IC2            ULN2003AN              DIL16                        ULN2003A              (1750 2500)           R90
IC3            AT24CP                 DIL08                        atmel                 (2150 2500)           R270
IC4            AE-AQM0802             AE-AQM0802                   AE-AQM0802            (3418.75 2931.25)     R90
IIC-R          XH-4                   CON4                         0@Mylibrary-main1     (1350 1300)           R180
INDILED1       330                    R0805                        0@Mylibrary-main1     (1200 2150)           R180
INDILED2       330                    R0805                        0@Mylibrary-main1     (1200 2250)           R180
INDILED3       330                    R0805                        0@Mylibrary-main1     (1200 2350)           R180
INDILED4       330                    R0805                        0@Mylibrary-main1     (1200 2450)           R180
